DataCadastro;DataConclusaoCadastro;NomeEscola;INEP;UFEscola;MunicipioEscola;IDEscola;IDProfessor
/Date(1756982302270)/;/Date(1756987857980)/;COLEGIO TIRADENTES PMMG;31043371;Minas Gerais;Governador Valadares;2769;2558
/Date(1756149555223)/;/Date(1758810151650)/;EM CORONEL JOAO DOMINGOS;31129232;Minas Gerais;Raul Soares;1915;2568
/Date(1755440995823)/;/Date(1755444480593)/;C PEDAGOGICO MOTIVAR;31253944;Minas Gerais;Sabinópolis;1265;2571
/Date(1755084199257)/;/Date(1756464297717)/;ESCOLA BATISTA DE ACESITA - EBA - UNIDADE I;31254363;Minas Gerais;Timóteo;975;2574
/Date(1758745397073)/;/Date(1758745596070)/;EE SAO JOAO DO VACARIA;31148504;Minas Gerais;Virgem da Lapa;6642;2580
/Date(1757335339157)/;/Date(1758747373507)/;COLEGIO MILITAR DE BELO HORIZONTE;31291030;Minas Gerais;Belo Horizonte;3079;2595
/Date(1756756609977)/;/Date(1757416434660)/;C EDUC SEBASTIANA ALVES;31245372;Minas Gerais;Vazante;2522;2606
/Date(1756756631573)/;/Date(1757416412983)/;EE AMERICO ALVES;31118583;Minas Gerais;Lagamar;2523;2606
/Date(1758661626110)/;/Date(1758662304903)/;CENTRO EDUCACIONAL IMPAR;31213845;Minas Gerais;Montes Claros;6285;2614
/Date(1757523404143)/;/Date(1758110434937)/;EE FELICIANO MIGUEL ABDALLA;31353450;Minas Gerais;Caratinga;3396;2615
/Date(1754506133083)/;/Date(1755202634520)/;COLEGIO BALBINA RIBEIRO SOARES;31180475;Minas Gerais;Passa Quatro;544;2623
/Date(1757002272690)/;/Date(1758284727777)/;COLEGIO ADVENTISTA DO BURITIS;31377503;Minas Gerais;Belo Horizonte;2810;2629
/Date(1755804548040)/;/Date(1756498280233)/;COLEGIO INTEGRADO ALFA;31382515;Minas Gerais;Além Paraíba;1651;2635
/Date(1756214035407)/;/Date(1756215159243)/;EE FRANCISCO DO CARMO;31015521;Minas Gerais;Carandaí;1992;2636
/Date(1756214126017)/;/Date(1756991993967)/;EE PREFEITO GENTIL PEREIRA LIMA;31015571;Minas Gerais;Carandaí;1993;2636
/Date(1758202572037)/;/Date(1758203045143)/;CEM - CENTRO EDUCACIONAL DE MANHUACU;31293971;Minas Gerais;Manhuaçu;5185;2639
/Date(1755522747783)/;/Date(1757589000577)/;COLEGIO MAGNUM AGOSTINIANO NOVA FLORESTA;31004731;Minas Gerais;Belo Horizonte;1311;2641
/Date(1756390240120)/;/Date(1756390639890)/;COLEGIO VILA MONTE SIAO;31319091;Minas Gerais;Monte Sião;2206;2648
/Date(1754427297987)/;/Date(1754427695920)/;EM JOSE AVELINO DE MELO;31127353;Minas Gerais;Poços de Caldas;443;2651
/Date(1756336942377)/;/Date(1756339163990)/;REDE PROSPER POCOS DE CALDAS;31222976;Minas Gerais;Poços de Caldas;2157;2678
/Date(1755708745357)/;/Date(1755709108133)/;EE PROFESSOR LEOPOLDO PEREIRA;31024988;Minas Gerais;Serro;1544;2686
/Date(1758732337753)/;/Date(1758732508437)/;EE DOM ARISTIDES PORTO;31081515;Minas Gerais;Montes Claros;6551;2689
/Date(1754993245640)/;/Date(1758799730323)/;EE JOSE ALVES DE MAGALHAES;31180785;Minas Gerais;Brás Pires;859;2690
/Date(1756330091770)/;/Date(1758628121547)/;COLEGIO VISAO;31305154;Minas Gerais;Poços de Caldas;2154;2691
/Date(1756208327803)/;/Date(1756297736257)/;EM DONA MARIQUINHAS BROCHADO;31124907;Minas Gerais;Poços de Caldas;1972;2694
/Date(1757282811640)/;/Date(1758497972727)/;COLEGIO NOSSA SENHORA DO MONTE CALVARIO;31004499;Minas Gerais;Belo Horizonte;3047;2698
/Date(1756900911903)/;/Date(1756914346870)/;COLEGIO OMEGA;31371971;Minas Gerais;Viçosa;2651;2704
/Date(1754674164757)/;/Date(1754677282827)/;EE DE NAZARE DE MINAS;31173428;Minas Gerais;Nepomuceno;704;2706
/Date(1754958142717)/;/Date(1757156974253)/;ESCOLA SESI ORLANDO CHIARINI;31258393;Minas Gerais;Pouso Alegre;851;2715
/Date(1756130638353)/;/Date(1758727945303)/;EM DONA MARIQUINHAS BROCHADO;31124907;Minas Gerais;Poços de Caldas;1878;2724
/Date(1755269844220)/;/Date(1758633293067)/;INSTITUTO EDUCACIONAL SAO JOAO DA ESCOCIA;31128058;Minas Gerais;Poços de Caldas;1179;2729
/Date(1758113714520)/;/Date(1758656675960)/;EE PROFESSORA MARIA EDMEIA PIMENTA DE MEIRA;31023311;Minas Gerais;Capelinha;4895;2732
/Date(1754489085673)/;/Date(1758711650017)/;E M JOAO BATISTA MACHADO DE BRITO;31349585;Minas Gerais;Betim;508;2733
/Date(1755517345583)/;/Date(1755738068967)/;ESCOLA PROFISSIONAL DOM BOSCO;31128023;Minas Gerais;Poços de Caldas;1300;2734
/Date(1756836412360)/;/Date(1758627459363)/;CENTRO EDUCACIONAL POCOS;31310191;Minas Gerais;Poços de Caldas;2609;2739
/Date(1755868564060)/;/Date(1758746977840)/;EM PROFA CARMELITA GUIMARAES;31097411;Minas Gerais;Cataguases;1719;2740
/Date(1757610170490)/;/Date(1758059159060)/;E M ANTONIO TEREZA DOS SANTOS;31332941;Minas Gerais;Betim;3619;2744
/Date(1758031503953)/;/Date(1758031891793)/;ESCOLA MUNICIPAL MARIA CANDIDA DE JESUS;31034428;Minas Gerais;Juatuba;4602;2744
/Date(1755001488860)/;/Date(1758221924030)/;E M MARGARIDA SOARES GUIMARAES;31226572;Minas Gerais;Betim;872;2753
/Date(1755001520417)/;/Date(1758221953133)/;E M CLOVIS SALGADO;31007790;Minas Gerais;Betim;873;2753
/Date(1757349219990)/;/Date(1757351258670)/;EE SAGRADA FAMILIA;31043419;Minas Gerais;Governador Valadares;3096;2754
/Date(1757349276087)/;/Date(1757349823500)/;ESCOLA SESI ABILIO RODRIGUES PATTO;31244163;Minas Gerais;Governador Valadares;3097;2754
/Date(1754574303800)/;/Date(1757622767247)/;COLEGIO OMEGA;31346934;Minas Gerais;Coromandel;586;2755
/Date(1756302490843)/;/Date(1756512238203)/;COLEGIO TIRADENTES PMMG - UNIDADE SETE LAGOAS;31368237;Minas Gerais;Sete Lagoas;2100;2819
/Date(1756726072577)/;/Date(1758538099357)/;ESCOLA MUNICIPAL LIMOEIRO;31192902;Minas Gerais;Timóteo;2459;2832
/Date(1754309773513)/;/Date(1757693155203)/;COLEGIO TIRADENTES PMMG;31362280;Minas Gerais;Pouso Alegre;220;2850
/Date(1758657431763)/;/Date(1758761994093)/;ESCOLA SESI HAMLETO MAGNAVACCA;31004596;Minas Gerais;Belo Horizonte;6269;2851
/Date(1758152535893)/;/Date(1758581310803)/;COLEGIO PADRAO;31096270;Minas Gerais;Montes Claros;5089;2893
/Date(1755024233910)/;/Date(1758138578037)/;ESCOLA INTERNACIONAL SACI;31074152;Minas Gerais;Juiz de Fora;931;2916
/Date(1755026427230)/;/Date(1758138819977)/;EM PROFª THEREZA FALCI;31307556;Minas Gerais;Juiz de Fora;938;2916
/Date(1756143404857)/;/Date(1758304764673)/;EE MANUEL INACIO PEIXOTO;31097365;Minas Gerais;Cataguases;1905;2935
/Date(1756491095880)/;/Date(1756491433480)/;INST EDUC PE UBIRAJARA CABRAL;31254291;Minas Gerais;Alpinópolis;2306;2940
/Date(1758630182330)/;/Date(1758746631747)/;EE DR REYNALDO MARTINS MARQUES;31342491;Minas Gerais;Ribeirão das Neves;6101;2969
/Date(1757273998410)/;/Date(1758821746590)/;COLEGIO LUNOS EDUCACIONAL;31372013;Minas Gerais;Ubá;3037;2999
/Date(1756744477253)/;/Date(1757425818170)/;ESCOLA SEB UNIMASTER;31309711;Minas Gerais;Belo Horizonte;2499;3015
/Date(1755192529050)/;/Date(1758225485960)/;COLEGIO LYCEU;31230642;Minas Gerais;Muzambinho;1105;3024
/Date(1758717962217)/;/Date(1758807674523)/;EE RAUL RODRIGUES SALOMAO;31146447;Minas Gerais;Santa Helena de Minas;6439;3035
